2018-05-17 17:36:00.594 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:319] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mooc.house.HouseApplicationTest], using SpringBootContextLoader
2018-05-17 17:36:00.727 [main] INFO  [o.s.test.context.support.AbstractContextLoader:264] - Could not detect default resource locations for test class [com.mooc.house.HouseApplicationTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-05-17 17:36:00.728 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils:81] - Could not detect default configuration classes for test class [com.mooc.house.HouseApplicationTest]: HouseApplicationTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-05-17 17:36:02.620 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:177] - Found @SpringBootConfiguration com.mooc.house.HouseApplication for test class com.mooc.house.HouseApplicationTest
2018-05-17 17:36:02.642 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:260] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-05-17 17:36:02.869 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:187] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@27c86f2d, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@197d671, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@402e37bc, org.springframework.test.context.support.DirtiesContextTestExecutionListener@79ad8b2f, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1df82230, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@22635ba0, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@13c10b87, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6a01e23, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5a955565, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6293abcc, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7995092a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7fc2413d]
2018-05-17 17:36:05.375 [main] INFO  [com.mooc.house.HouseApplicationTest:48] - Starting HouseApplicationTest on LAPTOP-ERVHANDT with PID 30996 (started by carrots in F:\study\教程\Java EE\Spring Boot-----------\Java深入微服务原理改造房产销售平台\课程资料\housev0.0)
2018-05-17 17:36:05.375 [main] INFO  [com.mooc.house.HouseApplicationTest:662] - No active profile set, falling back to default profiles: default
2018-05-17 17:36:05.530 [main] INFO  [o.s.w.context.support.GenericWebApplicationContext:583] - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@2a8448fa: startup date [Thu May 17 17:36:05 CST 2018]; root of context hierarchy
2018-05-17 17:36:07.191 [background-preinit] INFO  [org.hibernate.validator.internal.util.Version:30] - HV000001: Hibernate Validator 5.2.5.Final
2018-05-17 17:36:14.116 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerAdapter:534] - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@2a8448fa: startup date [Thu May 17 17:36:05 CST 2018]; root of context hierarchy
2018-05-17 17:36:14.237 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/index]}" onto public java.lang.String com.mooc.house.controller.HelloController.index()
2018-05-17 17:36:14.239 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/hello]}" onto public java.lang.String com.mooc.house.controller.HelloController.hello(org.springframework.ui.ModelMap)
2018-05-17 17:36:14.241 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/user]}" onto public java.util.List<com.mooc.house.common.model.User> com.mooc.house.controller.UserController.getUsers()
2018-05-17 17:36:14.243 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-05-17 17:36:14.244 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-05-17 17:36:14.328 [main] INFO  [o.s.web.servlet.handler.SimpleUrlHandlerMapping:362] - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-05-17 17:36:14.328 [main] INFO  [o.s.web.servlet.handler.SimpleUrlHandlerMapping:362] - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-05-17 17:36:14.403 [main] INFO  [o.s.web.servlet.handler.SimpleUrlHandlerMapping:362] - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-05-17 17:36:14.985 [main] INFO  [o.s.w.servlet.view.freemarker.FreeMarkerConfigurer:127] - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2018-05-17 17:36:15.292 [main] INFO  [com.mooc.house.HouseApplicationTest:57] - Started HouseApplicationTest in 11.718 seconds (JVM running for 25.103)
2018-05-17 17:36:27.424 [Thread-1] INFO  [o.s.w.context.support.GenericWebApplicationContext:984] - Closing org.springframework.web.context.support.GenericWebApplicationContext@2a8448fa: startup date [Thu May 17 17:36:05 CST 2018]; root of context hierarchy
